TF	target	importance	cc	TF_type	target_type	targetN
D-Ribulose-5-phosphate	Solyc08g080650.3	43.32140840724655	1	energy	gene	8
L-Lactate	Solyc01g087150.3	39.851403560292624	1	energy	gene	8
L-Lactate	Solyc01g091260.3	35.79844210555599	1	energy	gene	8
L-Lactate	Solyc06g064550.3	36.81040455184639	1	energy	gene	8
D-Ribulose-5-phosphate	Dihydroxyacetone-phosphate	45.18889388414715	1	energy	energy	8
D-Ribulose-5-phosphate	Solyc02g082740.1	35.340994617744975	1	energy	gene	8
L-Lactate	Solyc04g079050.3	40.83090493633298	1	energy	gene	8
L-Lactate	Solyc09g010530.3	44.29341950730954	1	energy	gene	8
L-Lactate	Solyc01g006300.3	36.68232766622578	1	energy	gene	8
D-Ribulose-5-phosphate	Solyc01g079980.3	40.58809116939808	1	energy	gene	8
D-Ribulose-5-phosphate	Solyc05g012850.3	38.385099711959725	1	energy	gene	8
D-Ribulose-5-phosphate	Solyc04g071600.3	36.66724096553411	1	energy	gene	8
L-Lactate	Solyc01g068560.3	37.851844147342426	1	energy	gene	8
L-Lactate	Solyc01g079150.4	36.25599911094248	1	energy	gene	8
D-Ribulose-5-phosphate	L-Citrulline	42.2921889517789	1	energy	energy	8
D-Ribulose-5-phosphate	Solyc04g077250.4	37.41355415221486	1	energy	gene	8
L-Citrulline	Solyc04g076400.3	37.23731191994385	1	energy	gene	9
Adenine	Solyc01g088400.4	35.942894618567216	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc06g060520.1	37.97356613684092	1	energy	gene	9
L-Citrulline	Solyc07g055120.4	39.97792928110985	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc02g062430.3	37.773072329394935	1	energy	gene	9
L-Citrulline	D-Ribulose-5-phosphate	37.895314075575854	1	energy	energy	9
Sedoheptulose-7-phosphate	Solyc06g083580.4	56.75781270083401	1	energy	gene	9
Adenine	Solyc08g006020.4	37.92293893624041	1	energy	TF	9
L-Citrulline	Solyc08g006030.4	40.8694300153625	1	energy	gene	9
Adenine	Solyc08g079870.3	38.29620188484831	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc01g101100.4	35.3114383269781	1	energy	gene	9
Adenine	Solyc10g055820.3	40.636655206201766	1	energy	gene	9
L-Citrulline	Solyc03g118150.3	36.88545691359335	1	energy	gene	9
L-Citrulline	Solyc02g076740.3	40.172608941353936	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc01g111100.5	49.02046216333209	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc04g049920.4	52.11043970027465	1	energy	gene	9
Adenine	Solyc03g113580.1	39.67900637853781	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc01g010180.3	35.70693723072264	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc12g015690.3	39.3869599097748	1	energy	gene	9
L-Citrulline	Solyc05g054450.1	36.028047848368026	1	energy	gene	9
L-Citrulline	Solyc01g103080.3	40.16124210097755	1	energy	gene	9
L-Citrulline	novel.4295	39.74644990696847	1	energy	gene	9
Adenine	Solyc01g008620.4	35.11789928398383	1	energy	gene	9
Sedoheptulose-7-phosphate	Solyc01g091530.4	35.61867831587428	1	energy	gene	9
Adenine	Solyc07g008560.3	41.570274330207575	1	energy	gene	9
Adenine	Solyc09g090350.3	35.615312649079655	1	energy	gene	9
Adenine	Solyc07g009230.3	39.31836147808808	1	energy	gene	9
2-Phospho-D-glycerate	Solyc06g083500.4	37.1990694761076	1	energy	gene	10
D-Glucose-6-phosphate	Solyc04g078600.3	45.881886912114176	1	energy	gene	10
D-Glucose-6-phosphate	D-Glucose-1-phosphate	56.16211966255198	1	energy	energy	10
D-Glucose-6-phosphate	Solyc10g008710.3	36.37281078148212	1	energy	gene	10
D-Glucose-6-phosphate	Solyc03g059205.1	37.40755815150181	1	energy	gene	10
D-Glucose-6-phosphate	Solyc04g007330.3	46.14360208159475	1	energy	gene	10
D-Glucose-6-phosphate	Solyc12g088700.1	36.24658204123066	1	energy	gene	10
2-Phospho-D-glycerate	Solyc02g030225.1	38.12180039332623	1	energy	gene	10
2-Phospho-D-glycerate	Solyc03g112010.4	37.27099738317737	1	energy	gene	10
2-Phospho-D-glycerate	L-Arginine	40.745582417270974	1	energy	energy	10
2-Phospho-D-glycerate	Solyc03g120420.3	35.46170234406795	1	energy	gene	10
D-Glucose-6-phosphate	Solyc08g016670.3	35.65004996410686	1	energy	gene	10
2-Phospho-D-glycerate	Solyc08g068090.3	35.17316038985888	1	energy	gene	10
2-Phospho-D-glycerate	Solyc11g005190.3	35.725566387461406	1	energy	gene	10
2-Phospho-D-glycerate	Solyc07g049690.3	35.001223663047554	1	energy	gene	10
2-Phospho-D-glycerate	Solyc05g050960.4	36.23737521686856	1	energy	gene	10
D-Glucose-6-phosphate	D-Erythrose-4-phosphate	87.6270976320089	1	energy	energy	10
2-Phospho-D-glycerate	Phosphoenolpyruvic-acid	70.9881121076839	1	energy	energy	10
D-Glucose-6-phosphate	novel.3394	37.64227438759551	1	energy	gene	10
D-Glucose-6-phosphate	Solyc11g071830.2	41.45152030746421	1	energy	gene	10
Glycerol-3-phosphate	Solyc08g082610.4	35.42914777594423	1	energy	gene	11
UMP	Solyc06g083500.4	35.21547072501459	1	energy	gene	11
UMP	Solyc06g051680.1	35.894857065153474	1	energy	gene	11
Glycerol-3-phosphate	Solyc07g052400.3	38.31453618263356	1	energy	gene	11
UMP	Solyc11g012660.2	40.94338385051479	1	energy	gene	11
UMP	IMP	46.973952130494126	1	energy	energy	11
UMP	Solyc01g098240.3	47.16386610909216	1	energy	gene	11
Pyruvic-acid	Solyc09g010530.3	37.085316050291176	1	energy	gene	11
UMP	Solyc08g078760.1	36.15659277723185	1	energy	gene	11
Pyruvic-acid	Solyc09g011140.4	37.11988793101688	1	energy	gene	11
Pyruvic-acid	Solyc09g007480.3	42.86946075322424	1	energy	gene	11
Pyruvic-acid	Solyc04g007980.3	35.02760826675795	1	energy	gene	11
Pyruvic-acid	Solyc06g072360.3	37.03391530126326	1	energy	TF	11
Glycerol-3-phosphate	Solyc08g007240.4	35.10912176752925	1	energy	gene	11
Glycerol-3-phosphate	Solyc09g075860.3	43.30895120026076	1	energy	gene	11
Pyruvic-acid	Solyc04g079050.3	35.85420613647492	1	energy	gene	11
Glycerol-3-phosphate	Solyc03g116890.3	35.36461637103682	1	energy	TF	11
Pyruvic-acid	Solyc07g062520.3	36.116949807528265	1	energy	gene	11
Glycerol-3-phosphate	Solyc06g035710.1	36.74376834524604	1	energy	gene	11
UMP	Solyc05g048750.3	36.098697266783056	1	energy	gene	11
Pyruvic-acid	L-Asparagine	37.15744275624818	1	energy	energy	11
UMP	Solyc01g099980.4	35.52489971872534	1	energy	gene	11
Glycerol-3-phosphate	Solyc02g077370.1	36.32019561695751	1	energy	TF	11
Glycerol-3-phosphate	Solyc02g085300.4	38.67317362443514	1	energy	gene	11
UMP	AMP	36.30961550614751	1	energy	energy	11
UMP	Solyc03g093650.3	35.39698987079314	1	energy	gene	11
Glycerol-3-phosphate	Solyc03g120380.3	37.78039348331056	1	energy	TR	11
Glycerol-3-phosphate	Solyc03g117860.3	37.07614369810983	1	energy	gene	11
Pyruvic-acid	Solyc10g055240.2	45.99562152158006	1	energy	gene	11
Pyruvic-acid	Solyc11g042820.2	49.53001937289219	1	energy	gene	11
Glycerol-3-phosphate	Solyc04g008730.3	36.212649891102906	1	energy	gene	11
Pyruvic-acid	Solyc04g064870.3	38.86985207943615	1	energy	gene	11
UMP	Solyc04g071280.3	36.5683357296488	1	energy	gene	11
L-Threonine	Solyc05g007950.4	42.90624641345987	1	energy	gene	12
UDP-GlcNAc	Solyc03g007230.4	45.50001925988564	1	energy	gene	12
L-Threonine	Solyc03g025380.3	40.45966085170536	1	energy	gene	12
UDP-GlcNAc	Solyc03g043895.1	37.604804207627495	1	energy	TF	12
UDP-GlcNAc	Solyc06g008620.1	38.98421886995481	1	energy	gene	12
L-Threonine	Solyc07g062670.1	35.92810439262886	1	energy	gene	12
L-Threonine	Solyc10g045100.2	35.350057375536124	1	energy	gene	12
UDP-GlcNAc	Solyc06g069070.1	43.802223730398	1	energy	gene	12
UDP-GlcNAc	Solyc05g009430.3	36.75499282621824	1	energy	gene	12
UDP-GlcNAc	Solyc10g082066.1	36.946472080715374	1	energy	gene	12
L-Threonine	novel.6772	37.042553898518	1	energy	gene	12
UDP-GlcNAc	Solyc02g089860.1	36.033034740246144	1	energy	gene	12
UDP-GlcNAc	novel.2491	38.73535171061337	1	energy	gene	12
L-Threonine	Solyc03g080110.3	35.00360006369136	1	energy	gene	12
UDP-GlcNAc	Solyc08g075430.3	37.10627656668688	1	energy	gene	12
L-Threonine	Solyc03g080020.4	40.98425498766351	1	energy	gene	12
L-Threonine	Solyc10g009150.3	35.828913816483634	1	energy	gene	12
L-Threonine	Solyc01g106890.2	49.87350082883489	1	energy	gene	12
L-Threonine	Succinic-acid	54.83499970371059	1	energy	energy	12
L-Threonine	Solyc04g011480.3	35.19496807653825	1	energy	gene	12
L-Threonine	Solyc02g091070.3	39.65001014151684	1	energy	gene	12
UDP-GlcNAc	Solyc01g081340.4	45.701801561499735	1	energy	gene	12
UDP-GlcNAc	Phosphorylethanolamine	49.512633305789926	1	energy	energy	12
UDP-GlcNAc	Solyc04g054910.4	45.54706721822306	1	energy	TF	12
AMP	Solyc03g093650.3	35.51456365279743	1	energy	gene	13
AMP	Solyc05g005280.4	40.83070785304079	1	energy	gene	13
AMP	Solyc04g063370.3	46.139258200913055	1	energy	gene	13
AMP	2-Phospho-D-glycerate	40.859764015283886	1	energy	energy	13
AMP	Solyc05g048750.3	45.57178027902168	1	energy	gene	13
AMP	novel.3940	39.35699421059391	1	energy	gene	13
AMP	IMP	62.57605476892104	1	energy	energy	13
AMP	Solyc08g006770.3	36.52994224618769	1	energy	gene	13
AMP	Solyc07g032080.3	49.27364261656728	1	energy	gene	13
AMP	Solyc06g068600.3	38.02706256756441	1	energy	gene	13
AMP	UMP	41.20829542753787	1	energy	energy	13
AMP	Solyc01g098240.3	58.51466915342081	1	energy	gene	13
AMP	Solyc07g049690.3	45.150158286739895	1	energy	gene	13
Dihydroxyacetone-phosphate	Solyc12g049380.3	41.25282202285462	1	energy	gene	14
Ara	Solyc01g110720.2	39.97821582094193	1	sugar	gene	14
Dihydroxyacetone-phosphate	Solyc01g081600.3	37.12512104882096	1	energy	gene	14
Ara	novel.2498	36.00146903645449	1	sugar	gene	14
Ara	Solyc04g049920.4	43.71343934645803	1	sugar	gene	14
Dihydroxyacetone-phosphate	Solyc03g006010.3	36.82507206539236	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc04g008480.2	43.97775099338561	1	energy	TF	14
Dihydroxyacetone-phosphate	Solyc01g081630.4	39.16075778903664	1	energy	TF	14
Dihydroxyacetone-phosphate	D-Ribulose-5-phosphate	43.75128481285336	1	energy	energy	14
Dihydroxyacetone-phosphate	Solyc03g019920.1	40.2591241328931	1	energy	gene	14
Ara	Solyc10g081730.2	35.45945445096687	1	sugar	gene	14
Ara	Sedoheptulose-7-phosphate	41.02064477033905	1	sugar	energy	14
Ara	Solyc05g053870.3	35.50599526725232	1	sugar	gene	14
Dihydroxyacetone-phosphate	Solyc05g007895.1	36.27617547128249	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc12g011450.2	42.51207688665995	1	energy	gene	14
Ara	Solyc06g083580.4	37.66850351278581	1	sugar	gene	14
Ara	Solyc01g111100.5	41.087671315331455	1	sugar	gene	14
Ara	Solyc03g111100.1	36.208917031342175	1	sugar	gene	14
Ara	Solyc04g074310.4	35.252813066937115	1	sugar	gene	14
Ara	Solyc06g072350.3	41.06658411232196	1	sugar	gene	14
Ara	Solyc12g009650.2	39.47137813612776	1	sugar	gene	14
Dihydroxyacetone-phosphate	Solyc05g052370.3	35.63848811808515	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc11g010430.2	36.9183861705578	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc12g096510.3	36.47808807150837	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc04g071780.3	38.64054123033135	1	energy	gene	14
Dihydroxyacetone-phosphate	Solyc09g005840.2	38.485076589525306	1	energy	gene	14
Ara	Solyc04g026110.4	36.33181571709745	1	sugar	gene	14
Ara	Solyc06g082570.3	42.95833973129138	1	sugar	gene	14
D-Erythrose-4-phosphate	Solyc04g008730.3	36.07872785740056	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc04g014600.3	37.19401825032452	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc07g055530.3	42.40562598201636	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc01g005290.4	39.97991491930813	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc04g078600.3	40.33671712656157	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc04g007330.3	36.66250702019579	1	energy	gene	16
D-Erythrose-4-phosphate	D-Glucose-6-phosphate	78.0545012162252	1	energy	energy	16
D-Erythrose-4-phosphate	Solyc05g056560.3	36.98077746651613	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc10g086410.3	35.494689877538875	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc12g009110.3	35.558826231317674	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc11g071460.2	36.88433961367404	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc03g119080.4	38.57342320748551	1	energy	gene	16
D-Erythrose-4-phosphate	novel.6315	52.99558871216145	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc02g063450.4	38.20544053565803	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc09g005120.3	37.30500643778761	1	energy	gene	16
D-Erythrose-4-phosphate	Solyc08g077850.2	36.47997160795369	1	energy	gene	16
D-Glucose-1-phosphate	Solyc11g071640.3	35.43924430588102	1	energy	gene	19
L-Arginine	Solyc03g114940.3	36.96669727737501	1	energy	gene	19
D-Glucose-1-phosphate	Solyc12g013680.3	41.60391612822251	1	energy	gene	19
L-Arginine	Solyc09g014280.1	36.3810143061173	1	energy	gene	19
L-Arginine	Solyc11g042820.2	39.17334966862539	1	energy	gene	19
D-Glucose-1-phosphate	Solyc11g066150.3	36.41442050131299	1	energy	gene	19
D-Glucose-1-phosphate	Solyc06g065680.3	35.82484416955712	1	energy	gene	19
D-Glucose-1-phosphate	Solyc08g007670.1	42.09578133438174	1	energy	gene	19
L-Arginine	Solyc12g006520.2	46.08683072245607	1	energy	gene	19
