TF	target	importance	cc	TF_type	target_type	targetN
Suc	Solyc10g076460.2	35.962452821074365	1	sugar	TF	790
Suc	Solyc05g052610.3	49.78924012023801	1	sugar	TF	790
Suc	Solyc04g078770.4	36.0273377553682	1	sugar	TF	790
Suc	Solyc04g080740.1	47.30590263558627	1	sugar	TF	790
Suc	Solyc04g009440.3	48.62002093337341	1	sugar	TF	790
Suc	Solyc02g062950.3	48.39617366177336	1	sugar	TF	790
Suc	Solyc05g042030.3	36.07283477787211	1	sugar	TR	790
Suc	Solyc06g053210.4	47.97273312429762	1	sugar	TF	790
Suc	Solyc02g092370.1	47.60963457525043	1	sugar	TF	790
Suc	Solyc03g120500.4	49.25294072839072	1	sugar	TR	790
Suc	Solyc07g062260.3	47.20810048950913	1	sugar	TF	790
Suc	Solyc01g096810.3	58.1137357384416	1	sugar	TF	790
Suc	Solyc01g104900.3	35.25412022207712	1	sugar	TF	790
Suc	Solyc02g069720.3	55.77329801402928	1	sugar	TF	790
Suc	Solyc08g080150.1	60.13276924072663	1	sugar	TF	790
Suc	Solyc03g083400.3	56.7577748055172	1	sugar	TR	790
Suc	Solyc07g043580.4	57.072463826730726	1	sugar	TF	790
Suc	Solyc04g077780.3	61.038194978077335	1	sugar	TF	790
Suc	Solyc04g040220.3	35.14743254456013	1	sugar	TR	790
Suc	Solyc06g053710.3	35.79012752554069	1	sugar	TR	790
Suc	Solyc09g009250.3	35.558930157690426	1	sugar	TF	790
Suc	Solyc04g007000.2	54.08840602840538	1	sugar	TF	790
Suc	Solyc03g026020.3	54.50034942539567	1	sugar	TF	790
Suc	Solyc04g077210.3	35.5342019055496	1	sugar	TF	790
Suc	Solyc04g074810.4	51.985175769890354	1	sugar	TF	790
Suc	Solyc09g089870.3	52.29510937967897	1	sugar	TF	790
Suc	Solyc06g051840.1	53.25006856998161	1	sugar	TF	790
Suc	Solyc01g065980.4	38.74952192126406	1	sugar	TF	790
Suc	Solyc07g026680.2	36.36763846008115	1	sugar	TF	790
Suc	Solyc08g067150.4	40.783754044863386	1	sugar	TF	790
Suc	Solyc03g093610.1	40.9334226780829	1	sugar	TF	790
Suc	Solyc08g021820.3	40.94720002307987	1	sugar	TR	790
Suc	Solyc11g010710.2	37.86581862037208	1	sugar	TF	790
Suc	Solyc12g014610.2	40.606993198489015	1	sugar	TF	790
Suc	Solyc01g090560.4	41.43640326221579	1	sugar	TF	790
Suc	Solyc06g007530.2	41.224717496794014	1	sugar	TF	790
Suc	Solyc01g097330.3	39.23126992363974	1	sugar	TF	790
Suc	Solyc03g033980.4	39.378778383193705	1	sugar	TF	790
Suc	Solyc03g123500.4	38.50252876272221	1	sugar	TF	790
Suc	Solyc05g056120.3	38.92286858395169	1	sugar	TF	790
Suc	Solyc06g083170.3	37.54091601048084	1	sugar	TF	790
Suc	Solyc06g060940.2	40.13540420178234	1	sugar	TF	790
Suc	Solyc04g076680.2	39.80083458554936	1	sugar	TF	790
Suc	Solyc05g056530.4	38.36042218466744	1	sugar	TR	790
Suc	Solyc02g087920.3	44.99917959466057	1	sugar	TF	790
Suc	Solyc05g015850.4	44.24651499740772	1	sugar	TF	790
Suc	Solyc12g010410.3	44.33507154692092	1	sugar	TF	790
Suc	Solyc08g066500.4	36.87234965298106	1	sugar	TF	790
Suc	Solyc02g090220.3	44.69521274672269	1	sugar	TF	790
Suc	Solyc02g024070.3	46.25122527087591	1	sugar	TF	790
Suc	Solyc03g120910.4	46.2522462937613	1	sugar	TF	790
Suc	Solyc06g068570.4	46.35675500589644	1	sugar	TF	790
Suc	Solyc04g082420.3	46.40241880601239	1	sugar	TR	790
Suc	Solyc10g078310.2	46.77738573115824	1	sugar	TF	790
Suc	Solyc01g007750.3	46.2235919299426	1	sugar	TR	790
Suc	Solyc09g098110.4	46.00882747151825	1	sugar	TF	790
Suc	Solyc08g006110.4	46.01679782764239	1	sugar	TF	790
Suc	Solyc11g072330.2	42.77425359880939	1	sugar	TF	790
Suc	Solyc06g076820.1	41.93964420200251	1	sugar	TF	790
Suc	Solyc11g006720.2	42.226960983811615	1	sugar	TF	790
Suc	Solyc04g072070.3	36.99435467786409	1	sugar	TF	790
Suc	Solyc06g005680.4	44.026729826312334	1	sugar	TF	790
Suc	Solyc02g092460.3	43.19417139312959	1	sugar	TR	790
Suc	Solyc09g090130.3	43.20379284376036	1	sugar	TF	790
Suc	Solyc01g109970.3	43.28445669833212	1	sugar	TR	790
Suc	Solyc10g078720.2	43.41002717981405	1	sugar	TF	790
