	sample	Condition	HAG
0	C0	C	0
1	C12	C	12
5	C24	C	24
6	C36	C	36
7	C48	C	48
8	C60	C	60
9	C72	C	72
10	C84	C	84
11	C96	C	96
2	C120	C	120
3	C168	C	168
4	C216	C	216
12	CC12	CC	12
16	CC24	CC	24
17	CC36	CC	36
18	CC48	CC	48
19	CC60	CC	60
20	CC72	CC	72
21	CC84	CC	84
22	CC96	CC	96
13	CC120	CC	120
14	CC168	CC	168
15	CC216	CC	216
23	CD0	CD	0
24	CD12	CD	12
28	CD24	CD	24
29	CD36	CD	36
30	CD48	CD	48
31	CD60	CD	60
32	CD72	CD	72
33	CD84	CD	84
34	CD96	CD	96
25	CD120	CD	120
26	CD168	CD	168
27	CD216	CD	216
35	D0	D	0
36	D12	D	12
40	D24	D	24
41	D36	D	36
42	D48	D	48
43	D60	D	60
44	D72	D	72
45	D84	D	84
46	D96	D	96
37	D120	D	120
38	D168	D	168
39	D216	D	216
47	DD12	DD	12
51	DD24	DD	24
52	DD36	DD	36
53	DD48	DD	48
54	DD60	DD	60
55	DD72	DD	72
56	DD84	DD	84
57	DD96	DD	96
48	DD120	DD	120
49	DD168	DD	168
50	DD216	DD	216
