gene	C0	C12	C24	C36	C48	C60	C72	C84	C96	C120	C168	C216	CC12	CC24	CC36	CC48	CC60	CC72	CC84	CC96	CC120	CC168	CC216	CD0	CD12	CD24	CD36	CD48	CD60	CD72	CD84	CD96	CD120	CD168	CD216	D0	D12	D24	D36	D48	D60	D72	D84	D96	D120	D168	D216	DD12	DD24	DD36	DD48	DD60	DD72	DD84	DD96	DD120	DD168	DD216
ATP	1814.2054052199235	1707.9828715247568	1085.1449724972638	1092.3011294991966	977.1461274641783	960.536734406105	927.680782273575	1517.0956149870833	1223.3855490365088	1356.9435960743233	1783.1272162242767	1790.5443329084135	2124.885258490147	2097.7936283979666	1700.1264994885498	2010.0098775489334	1523.3405593448067	1520.5115175763767	1825.0119785584131	1942.1144332888798	1709.9391233309968	2042.6276944431768	2558.242998065454	1270.1335416284735	1729.64766312296	1939.7270147550234	1782.2656652774567	1835.5389329898633	1474.1032128583465	1501.8116338254868	1537.39400290063	1522.8785520232298	2002.57440150865	1951.87656731473	2153.5673661258566	1299.5278383068567	945.69413462395	780.7941594620728	816.5001322080874	797.224356820962	787.8263006941287	831.5911000093187	1234.819585429005	878.441243281318	1017.6155352138353	1374.463733709733	1801.93646471557	1710.5359156240866	1958.5729950792	1579.50031056082	2226.867568499713	1333.3337749961631	1287.0396719970568	1556.8167173996535	1921.6841634664868	1524.0400985573233	2092.5970365008134	1564.3747069742267
Solyc03g115110.4	115.62	128.85333333333332	116.97666666666667	113.13	109.81666666666666	96.85333333333334	95.01666666666667	94.14666666666666	88.78333333333335	96.08	120.21333333333332	139.33666666666667	140.68333333333334	144.98333333333332	143.10333333333335	133.55999999999997	137.87333333333333	119.65333333333335	133.08	133.97666666666666	119.56666666666666	130.07333333333335	144.61666666666667	128.09333333333333	142.91	149.14666666666665	150.19333333333333	139.05666666666664	141.80666666666667	129.89	137.68666666666667	138.10666666666665	133.82	150.95333333333335	148.89333333333335	117.05333333333333	99.52333333333333	102.87333333333333	97.38	88.12333333333333	93.10000000000001	85.56	80.71	80.23	90.42	122.46333333333332	138.9	152.69333333333333	147.91	146.13333333333333	139.47333333333333	139.17333333333332	129.35	127.74666666666667	125.39333333333332	120.39333333333333	151.39333333333332	146.48333333333335
Solyc04g007550.4	158.86333333333334	159.35	137.01666666666668	108.18333333333334	94.57666666666667	89.46666666666665	97.82333333333334	108.71666666666665	131.0	151.38	234.85666666666665	197.29999999999998	170.98000000000002	174.06000000000003	140.37666666666667	144.93	130.72333333333333	125.72000000000001	151.15333333333334	164.91	166.87333333333333	191.12666666666667	196.88666666666666	161.08333333333334	195.89333333333335	187.04666666666665	161.83666666666667	150.9466666666667	150.01333333333335	157.51000000000002	162.45000000000002	189.10666666666668	174.32333333333335	234.14	188.68999999999997	153.45000000000002	139.54	126.53666666666668	115.5	112.27333333333333	97.91000000000001	104.51666666666667	144.63666666666668	146.22	139.99666666666667	221.50333333333333	223.31333333333336	205.61	199.54333333333332	175.74333333333334	161.47333333333333	164.82333333333335	171.91	143.39	187.38666666666666	179.59	240.01333333333332	215.47
Solyc04g072047.1	236.99666666666667	251.68999999999997	239.80333333333337	224.41333333333333	191.1	169.12	174.56000000000003	199.84333333333333	165.91	170.38	266.09666666666664	278.0233333333333	274.50666666666666	292.24666666666667	304.8866666666667	254.24333333333334	279.58666666666664	232.24	289.65000000000003	256.02333333333337	259.96666666666664	247.56000000000003	271.98333333333335	236.04	260.00333333333333	261.5933333333333	270.6166666666667	241.92	246.41333333333333	218.98000000000002	282.82	242.54333333333332	210.5	234.65	232.29	167.5	126.46333333333332	127.32000000000001	121.99000000000001	106.04	104.19	93.33	95.38333333333333	111.44666666666667	124.38666666666666	149.91	179.01	205.95000000000002	194.53666666666666	186.26	180.5666666666667	182.14	160.63	189.54666666666665	165.57333333333335	161.16	191.61666666666667	160.32666666666668
Solyc05g008460.4	229.30333333333337	220.72000000000003	151.05333333333334	109.33	102.00999999999999	94.21666666666665	84.31	126.68333333333332	130.01	149.07666666666668	332.25666666666666	316.0233333333333	221.78	246.0	192.75666666666666	201.35999999999999	184.84333333333333	148.51999999999998	216.45333333333335	209.7266666666667	227.09	302.75666666666666	318.1066666666666	206.32000000000002	243.60666666666665	257.2366666666666	216.29	206.48000000000002	207.13666666666666	190.50666666666666	222.96333333333334	245.83666666666667	222.57333333333335	333.68666666666667	304.00333333333333	189.95666666666668	121.15666666666668	110.18333333333334	95.60000000000001	96.37666666666667	83.70333333333333	87.58666666666666	148.64666666666668	152.28666666666666	153.90666666666667	282.8566666666666	325.77	254.67666666666665	268.31	226.51999999999998	220.60333333333332	217.76666666666665	218.08333333333334	177.54333333333332	234.21666666666667	233.39	335.0	321.09999999999997
Solyc05g050500.1	21.316666666666666	45.97666666666667	51.870000000000005	93.60666666666667	62.22333333333333	104.05	106.91000000000001	73.39	74.43	74.68	30.786666666666672	24.55333333333333	29.94333333333334	29.05333333333333	53.76	42.89666666666667	61.306666666666665	74.49333333333333	56.50666666666667	67.82	70.42333333333333	38.93333333333333	17.099999999999998	26.76	27.246666666666666	24.483333333333334	41.96333333333333	41.61	51.056666666666665	51.366666666666674	46.053333333333335	44.74	57.333333333333336	31.606666666666666	25.55666666666667	22.766666666666666	51.873333333333335	35.18333333333333	71.94	55.57	54.52	57.843333333333334	50.11333333333334	47.11333333333334	53.99	26.02	19.169999999999998	21.75	15.446666666666667	36.01	24.27	38.5	41.81333333333333	56.026666666666664	56.43333333333334	57.946666666666665	29.616666666666664	12.596666666666666
Solyc05g052140.3	106.40666666666668	110.93333333333334	129.1966666666667	86.06666666666666	74.21	65.20333333333333	75.10333333333334	107.74000000000001	79.66333333333334	101.85000000000001	145.42	127.10000000000001	114.04666666666667	120.16000000000001	126.76666666666667	104.8	94.69666666666666	86.54666666666667	109.63666666666667	121.26666666666667	138.50666666666666	141.97	126.09333333333332	132.13666666666666	123.68333333333334	127.31333333333333	136.17	111.08	102.83999999999999	116.88666666666666	123.89333333333333	142.27	115.62666666666667	147.83666666666667	127.86333333333334	106.8	84.71666666666665	91.01333333333334	83.68	70.16000000000001	64.21333333333332	71.83333333333333	83.8	97.39333333333333	107.42333333333333	146.0	134.0533333333333	138.44333333333336	138.76	131.3166666666667	129.52	115.65333333333332	105.74666666666667	131.70333333333335	145.99	151.11666666666667	164.09333333333333	136.61333333333334
Solyc05g052150.4	95.43333333333334	86.89999999999999	73.93666666666667	66.56333333333333	65.14999999999999	54.94	59.03666666666667	48.47666666666667	63.84666666666667	80.42	116.22666666666667	112.37666666666667	85.70333333333333	94.38666666666667	88.44333333333333	90.43333333333334	78.35000000000001	76.10333333333334	88.38333333333333	98.7	99.13333333333333	112.62	109.69333333333333	86.04	95.86	94.0	100.07	97.58999999999999	87.32	90.05666666666667	98.72666666666667	75.79666666666667	95.88666666666666	121.76666666666667	109.30333333333333	86.0	72.59333333333333	76.66000000000001	67.72333333333334	63.74333333333334	54.673333333333325	57.73333333333333	64.89999999999999	81.88333333333334	92.66666666666667	111.20333333333333	127.69333333333334	104.16000000000001	109.02333333333333	100.89666666666666	99.64999999999999	95.5	91.33333333333333	87.70666666666666	108.81	103.08999999999999	124.59666666666665	116.27666666666666
Solyc06g063220.3	61.32666666666666	73.47333333333334	75.99333333333333	60.583333333333336	59.95666666666667	50.77	57.846666666666664	77.61666666666666	56.82333333333333	48.06666666666666	63.72	84.60000000000001	96.31333333333333	74.92666666666666	86.37	69.06666666666668	83.8	60.25666666666667	77.72	70.00666666666667	71.36	61.166666666666664	66.45333333333333	84.81	98.12	82.21333333333332	88.57666666666667	72.86666666666666	74.95	79.35000000000001	88.85666666666667	76.80333333333334	64.79666666666667	67.07666666666667	83.92999999999999	72.60666666666667	55.10999999999999	54.553333333333335	55.63666666666666	53.52333333333333	45.77333333333333	48.74	50.49	51.20666666666667	60.89666666666667	64.84666666666668	75.12666666666667	100.66333333333334	90.05	90.28666666666668	87.67333333333333	79.98333333333333	68.93333333333334	101.29	79.95333333333333	74.44333333333333	71.59666666666666	85.40666666666668
Solyc11g072450.2	142.70666666666668	173.63	129.68333333333334	78.19	82.31333333333333	72.70666666666666	75.25666666666666	130.27333333333334	97.00666666666666	99.05666666666666	218.17333333333332	242.24333333333334	216.27999999999997	223.34666666666666	189.12333333333333	169.59	163.21666666666667	120.38	182.74	181.46333333333334	160.14666666666665	214.58	225.49333333333334	167.14	248.08333333333334	229.77666666666667	200.46333333333334	173.92	175.22333333333333	186.98000000000002	214.9766666666667	200.03333333333333	186.63	246.90666666666667	204.25666666666666	155.97333333333333	93.38666666666667	91.66000000000001	91.82666666666667	92.00666666666666	78.85666666666667	83.47	105.84333333333332	115.08999999999999	134.34	194.05333333333337	236.30999999999997	262.6166666666666	244.70333333333335	207.00666666666666	207.4	201.63333333333333	180.84666666666666	224.41333333333333	198.37666666666667	192.47333333333333	246.24	205.0233333333333
