Sugar_Energy,Sugar_Energy_type,Gene/metabolite class,"Cooperative dynamic
Gene/metabolite number"
Suc,sugar,gene,724
Phosphorylethanolamine,energy,gene,393
Acetyl-CoA,energy,gene,144
ATP,energy,gene,139
Uracil,energy,gene,138
L-Tyrosine,energy,gene,118
Citric-acid,energy,gene,116
Lysine,energy,gene,99
ADP,energy,gene,94
Suc,sugar,TF/TR,66
Phosphoenolpyruvic-acid,energy,gene,57
Succinic-acid,energy,gene,57
Phosphorylethanolamine,energy,TF/TR,53
Rha,sugar,gene,46
cyclic-AMP,energy,gene,46
Gal,sugar,gene,45
L-Asparagine,energy,gene,39
L-Alanine,energy,gene,37
L-Glutamate,energy,gene,24
Fru,sugar,gene,23
Uracil,energy,TF/TR,21
D-Glucose-1-phosphate,energy,gene,17
Beta-Leucine,energy,gene,16
L-Arginine,energy,gene,16
D-Erythrose-4-phosphate,energy,gene,15
Ara,sugar,gene,13
L-Alanine,energy,TF/TR,13
Dihydroxyacetone-phosphate,energy,gene,11
L-Threonine,energy,gene,11
AMP,energy,gene,10
ATP,energy,TF/TR,10
Pyruvic-acid,energy,gene,9
Sedoheptulose-7-phosphate,energy,gene,9
UDP-GlcNAc,energy,gene,9
UMP,energy,gene,9
2-Phospho-D-glycerate,energy,gene,8
Adenine,energy,gene,8
D-Glucose-6-phosphate,energy,gene,8
Glycerol-3-phosphate,energy,gene,8
L-Citrulline,energy,gene,8
L-Lactate,energy,gene,8
L-Glutamate,energy,TF/TR,8
ADP,energy,TF/TR,7
L-Tyrosine,energy,TF/TR,7
D-Ribulose-5-phosphate,energy,gene,6
cyclic-AMP,energy,TF/TR,6
Beta-Leucine,energy,energy,5
Acetyl-CoA,energy,TF/TR,5
Citric-acid,energy,TF/TR,5
Gal,sugar,TF/TR,5
Rha,sugar,TF/TR,5
IMP,energy,gene,4
Lysine,energy,energy,4
Phosphorylethanolamine,energy,energy,4
Phosphoenolpyruvic-acid,energy,TF/TR,4
AMP,energy,energy,3
D-Glutamine,energy,energy,3
L-Arginine,energy,energy,3
Ornithine,energy,energy,3
Glycerol-3-phosphate,energy,TF/TR,3
L-Asparagine,energy,TF/TR,3
Fuc,sugar,sugar,2
"Fructose-1,6-bisphosphate",energy,gene,2
Inositol,sugar,gene,2
Isocitric-acid,energy,gene,2
2-Phospho-D-glycerate,energy,energy,2
6-Phosphogluconate-acid,energy,energy,2
ADP,energy,energy,2
ATP,energy,energy,2
Acetyl-CoA,energy,energy,2
D-Glucose-1-phosphate,energy,energy,2
D-Glucose-6-phosphate,energy,energy,2
D-Ribulose-5-phosphate,energy,energy,2
L-Asparagine,energy,energy,2
L-Tyrosine,energy,energy,2
UMP,energy,energy,2
Dihydroxyacetone-phosphate,energy,TF/TR,2
Lysine,energy,TF/TR,2
Succinic-acid,energy,TF/TR,2
UDP-GlcNAc,energy,TF/TR,2
Fru,sugar,sugar,1
Glu,sugar,sugar,1
Uracil,energy,sugar,1
6-Phosphogluconate-acid,energy,gene,1
Alpha-Ketoglutaric-acid,energy,gene,1
Fuc,sugar,gene,1
L-Serine,energy,gene,1
Sorbitol,sugar,gene,1
Ara,sugar,energy,1
Citric-acid,energy,energy,1
D-Erythrose-4-phosphate,energy,energy,1
Dihydroxyacetone-phosphate,energy,energy,1
Fru,sugar,energy,1
IMP,energy,energy,1
L-Citrulline,energy,energy,1
L-Threonine,energy,energy,1
Phosphoenolpyruvic-acid,energy,energy,1
Pyruvic-acid,energy,energy,1
Succinic-acid,energy,energy,1
UDP-GlcNAc,energy,energy,1
Adenine,energy,TF/TR,1
Fuc,sugar,TF/TR,1
Isocitric-acid,energy,TF/TR,1
Pyruvic-acid,energy,TF/TR,1
