"","group","Description","pvalue","ratio"
"GO:0044283","C1","small molecule biosynthetic process",0.00129754640176906,"13/88"
"GO:0009698","C1","phenylpropanoid metabolic process",0.001524540316013,"3/88"
"GO:0019748","C1","secondary metabolic process",0.00406866558037859,"3/88"
"GO:0005976","C1","polysaccharide metabolic process",0.00636591562807869,"8/88"
"GO:0017144","C1","drug metabolic process",0.00690374490254547,"12/88"
"GO:0071554","C1","cell wall organization or biogenesis",0.0087546575320275,"9/88"
"GO:0042737","C1","drug catabolic process",0.0101263637021937,"7/88"
"GO:0009617","C1","response to bacterium",0.0104488702918266,"3/88"
"GO:0042742","C1","defense response to bacterium",0.0104488702918266,"3/88"
"GO:0045229","C1","external encapsulating structure organization",0.0106683448303094,"8/88"
"GO:0071555","C1","cell wall organization",0.0106683448303094,"8/88"
"GO:0072528","C1","pyrimidine-containing compound biosynthetic process",0.0116562661401104,"3/88"
"GO:0000271","C1","polysaccharide biosynthetic process",0.0122434967021636,"4/88"
"GO:0002229","C1","defense response to oomycetes",0.0137928919419135,"2/88"
"GO:0002239","C1","response to oomycetes",0.0137928919419135,"2/88"
"GO:0042136","C1","neurotransmitter biosynthetic process",0.0137928919419135,"2/88"
"GO:0005975","C1","carbohydrate metabolic process",0.0166988481448223,"15/88"
"GO:0072527","C1","pyrimidine-containing compound metabolic process",0.018863018063007,"3/88"
"GO:0003333","C1","amino acid transmembrane transport",0.0197509542553164,"2/88"
"GO:0046653","C1","tetrahydrofolate metabolic process",0.0197509542553164,"2/88"
"GO:1901605","C1","alpha-amino acid metabolic process",0.0211946272007449,"6/88"
"GO:0030243","C1","cellulose metabolic process",0.0223001685985089,"3/88"
"GO:0006544","C1","glycine metabolic process",0.0230648476988261,"2/88"
"GO:0006865","C1","amino acid transport",0.0230648476988261,"2/88"
"GO:0051273","C1","beta-glucan metabolic process",0.0241384244695164,"3/88"
"GO:0033692","C1","cellular polysaccharide biosynthetic process",0.0260564650767311,"3/88"
"GO:0009072","C1","aromatic amino acid family metabolic process",0.0280541781777632,"3/88"
"GO:0006730","C1","one-carbon metabolic process",0.0303173645337225,"2/88"
"GO:0016053","C1","organic acid biosynthetic process",0.0304284279857784,"8/88"
"GO:0046394","C1","carboxylic acid biosynthetic process",0.0304284279857784,"8/88"
"GO:0010393","C1","galacturonan metabolic process",0.0313437608716588,"4/88"
"GO:0045488","C1","pectin metabolic process",0.0313437608716588,"4/88"
"GO:0071669","C1","plant-type cell wall organization or biogenesis",0.0322877605045827,"3/88"
"GO:0006760","C1","folic acid-containing compound metabolic process",0.0342387387568467,"2/88"
"GO:1903825","C1","organic acid transmembrane transport",0.0342387387568467,"2/88"
"GO:1905039","C1","carboxylic acid transmembrane transport",0.0342387387568467,"2/88"
"GO:0001505","C1","regulation of neurotransmitter levels",0.0383457593883152,"2/88"
"GO:0009163","C1","nucleoside biosynthetic process",0.0383457593883152,"2/88"
"GO:0042133","C1","neurotransmitter metabolic process",0.0383457593883152,"2/88"
"GO:0042455","C1","ribonucleoside biosynthetic process",0.0383457593883152,"2/88"
"GO:0042558","C1","pteridine-containing compound metabolic process",0.0383457593883152,"2/88"
"GO:0034404","C1","nucleobase-containing small molecule biosynthetic process",0.0416973018744076,"3/88"
"GO:0030244","C1","cellulose biosynthetic process",0.0426303961143073,"2/88"
"GO:1901659","C1","glycosyl compound biosynthetic process",0.0426303961143073,"2/88"
"GO:0009056","C1","catabolic process",0.0430414836770611,"14/88"
"GO:0019439","C1","aromatic compound catabolic process",0.0451367756974898,"4/88"
"GO:1901607","C1","alpha-amino acid biosynthetic process",0.0470657265001514,"4/88"
"GO:0006563","C1","L-serine metabolic process",0.0470848460630478,"2/88"
"GO:0009070","C1","serine family amino acid biosynthetic process",0.0470848460630478,"2/88"
"GO:0051274","C1","beta-glucan biosynthetic process",0.0470848460630478,"2/88"
"GO:0000272","C1","polysaccharide catabolic process",0.0490401664240458,"4/88"
"GO:1901575","C1","organic substance catabolic process",0.0500470985615256,"12/88"
"GO:0016051","C1","carbohydrate biosynthetic process",0.0510600223970998,"4/88"
"GO:1901361","C1","organic cyclic compound catabolic process",0.0510600223970998,"4/88"
"GO:0006221","C1","pyrimidine nucleotide biosynthetic process",0.0517015282974892,"2/88"
