"","group","Description","pvalue","ratio"
"GO:0042592","C1","homeostatic process",0.00231688002517456,"6/44"
"GO:0019725","C1","cellular homeostasis",0.00513508426757914,"5/44"
"GO:0045454","C1","cell redox homeostasis",0.010185603706879,"4/44"
"GO:0065008","C1","regulation of biological quality",0.0246552683482306,"6/44"
"GO:0016125","C1","sterol metabolic process",0.0308028276934402,"2/44"
"GO:0016567","C1","protein ubiquitination",0.0544879476233649,"2/44"
"GO:0008202","C1","steroid metabolic process",0.0668251076620809,"2/44"
"GO:0006511","C1","ubiquitin-dependent protein catabolic process",0.0671402556439607,"3/44"
"GO:0032446","C1","protein modification by small protein conjugation",0.0719987573474491,"2/44"
"GO:0016042","C1","lipid catabolic process",0.0746335314792324,"2/44"
"GO:0019941","C1","modification-dependent protein catabolic process",0.0768824447596599,"3/44"
"GO:0043632","C1","modification-dependent macromolecule catabolic process",0.0785645859205456,"3/44"
"GO:0055114","C1","oxidation-reduction process",0.0854552434813917,"3/44"
"GO:0048878","C1","chemical homeostasis",0.0854743005710583,"2/44"
"GO:0016129","C1","phytosteroid biosynthetic process",0.088712004247437,"1/44"
"GO:0016569","C1","covalent chromatin modification",0.088712004247437,"1/44"
"GO:0016570","C1","histone modification",0.088712004247437,"1/44"
"GO:0055088","C1","lipid homeostasis",0.088712004247437,"1/44"
"GO:0006468","C1","protein phosphorylation",0.0939008073242634,"2/44"
"GO:0005991","C1","trehalose metabolic process",0.0971480807913275,"1/44"
"GO:0005992","C1","trehalose biosynthetic process",0.0971480807913275,"1/44"
"GO:0006874","C1","cellular calcium ion homeostasis",0.0971480807913275,"1/44"
"GO:0055074","C1","calcium ion homeostasis",0.0971480807913275,"1/44"
"GO:0051603","C1","proteolysis involved in cellular protein catabolic process",0.0999853858124056,"3/44"
"GO:0044257","C1","cellular protein catabolic process",0.103767148712642,"3/44"
"GO:0016128","C1","phytosteroid metabolic process",0.105507820784,"1/44"
"GO:0072503","C1","cellular divalent inorganic cation homeostasis",0.105507820784,"1/44"
"GO:0072507","C1","divalent inorganic cation homeostasis",0.105507820784,"1/44"
"GO:0006629","C1","lipid metabolic process",0.109988992481572,"6/44"
"GO:0007165","C1","signal transduction",0.11362554889252,"5/44"
"GO:0009738","C1","abscisic acid-activated signaling pathway",0.113791899059206,"1/44"
"GO:0046351","C1","disaccharide biosynthetic process",0.113791899059206,"1/44"
"GO:0071215","C1","cellular response to abscisic acid stimulus",0.113791899059206,"1/44"
"GO:0097306","C1","cellular response to alcohol",0.113791899059206,"1/44"
"GO:0023052","C1","signaling",0.116204879884577,"5/44"
"GO:0006541","C1","glutamine metabolic process",0.122000984625816,"1/44"
"GO:0006914","C1","autophagy",0.122000984625816,"1/44"
"GO:0061919","C1","process utilizing autophagic mechanism",0.122000984625816,"1/44"
"GO:0006464","C1","cellular protein modification process",0.124114495660375,"5/44"
"GO:0036211","C1","protein modification process",0.124114495660375,"5/44"
"GO:0030163","C1","protein catabolic process",0.12761778243807,"3/44"
"GO:0009067","C1","aspartate family amino acid biosynthetic process",0.13013574071688,"1/44"
"GO:0009312","C1","oligosaccharide biosynthetic process",0.13013574071688,"1/44"
"GO:0046777","C1","protein autophosphorylation",0.13013574071688,"1/44"
"GO:0048316","C1","seed development",0.13013574071688,"1/44"
"GO:0070647","C1","protein modification by small protein conjugation or removal",0.136005860695251,"2/44"
"GO:0000209","C1","protein polyubiquitination",0.138196824838291,"1/44"
"GO:1903825","C1","organic acid transmembrane transport",0.138196824838291,"1/44"
"GO:1905039","C1","carboxylic acid transmembrane transport",0.138196824838291,"1/44"
"GO:0044242","C1","cellular lipid catabolic process",0.146184888817038,"1/44"
"GO:0009066","C1","aspartate family amino acid metabolic process",0.154100578849076,"1/44"
"GO:0009082","C1","branched-chain amino acid biosynthetic process",0.154100578849076,"1/44"
"GO:0045786","C1","negative regulation of cell cycle",0.154100578849076,"1/44"
"GO:1901615","C1","organic hydroxy compound metabolic process",0.155166931891151,"2/44"
"GO:0044265","C1","cellular macromolecule catabolic process",0.159919413900138,"3/44"
"GO:0006875","C1","cellular metal ion homeostasis",0.161944535546787,"1/44"
"GO:0009081","C1","branched-chain amino acid metabolic process",0.161944535546787,"1/44"
"GO:0007154","C1","cell communication",0.162723551145104,"5/44"
"GO:0006508","C1","proteolysis",0.164408919960869,"3/44"
"GO:0000160","C1","phosphorelay signal transduction system",0.169717393986067,"1/44"
"GO:0098656","C1","anion transmembrane transport",0.169717393986067,"1/44"
"GO:1990542","C1","mitochondrial transmembrane transport",0.169717393986067,"1/44"
"GO:0005984","C1","disaccharide metabolic process",0.17741978375301,"1/44"
"GO:0030003","C1","cellular cation homeostasis",0.17741978375301,"1/44"
"GO:0030258","C1","lipid modification",0.17741978375301,"1/44"
"GO:0055065","C1","metal ion homeostasis",0.17741978375301,"1/44"
"GO:0043412","C1","macromolecule modification",0.184518671499557,"5/44"
"GO:0016311","C1","dephosphorylation",0.185052328990224,"1/44"
"GO:0051716","C1","cellular response to stimulus",0.198962245595559,"6/44"
"GO:0006873","C1","cellular ion homeostasis",0.20011035550362,"1/44"
"GO:0009311","C1","oligosaccharide metabolic process",0.20011035550362,"1/44"
"GO:0016310","C1","phosphorylation",0.201620471136372,"2/44"
"GO:0035556","C1","intracellular signal transduction",0.205007228544057,"2/44"
"GO:0006839","C1","mitochondrial transport",0.20753705825902,"1/44"
"GO:0071396","C1","cellular response to lipid",0.20753705825902,"1/44"
"GO:0055085","C1","transmembrane transport",0.211233955328505,"3/44"
"GO:0015849","C1","organic acid transport",0.214896359533102,"1/44"
"GO:0046942","C1","carboxylic acid transport",0.214896359533102,"1/44"
"GO:0065004","C1","protein-DNA complex assembly",0.214896359533102,"1/44"
"GO:0008652","C1","cellular amino acid biosynthetic process",0.215206971684398,"2/44"
"GO:0009737","C1","response to abscisic acid",0.222188856932415,"1/44"
"GO:0055080","C1","cation homeostasis",0.222188856932415,"1/44"
"GO:0071824","C1","protein-DNA complex subunit organization",0.222188856932415,"1/44"
"GO:0097305","C1","response to alcohol",0.222188856932415,"1/44"
"GO:0098771","C1","inorganic ion homeostasis",0.229415142889968,"1/44"
"GO:0009755","C1","hormone-mediated signaling pathway",0.232314684353426,"2/44"
"GO:0032870","C1","cellular response to hormone stimulus",0.232314684353426,"2/44"
"GO:0071495","C1","cellular response to endogenous stimulus",0.232314684353426,"2/44"
"GO:0006352","C1","DNA-templated transcription, initiation",0.236575804708943,"1/44"
"GO:0006952","C1","defense response",0.243162599523502,"3/44"
"GO:0008643","C1","carbohydrate transport",0.243671424606029,"1/44"
"GO:0010498","C1","proteasomal protein catabolic process",0.243671424606029,"1/44"
"GO:0043161","C1","proteasome-mediated ubiquitin-dependent protein catabolic process",0.243671424606029,"1/44"
"GO:0055082","C1","cellular chemical homeostasis",0.243671424606029,"1/44"
"GO:0071310","C1","cellular response to organic substance",0.249517642173654,"2/44"
"GO:0010154","C1","fruit development",0.25070257975442,"1/44"
"GO:0009056","C1","catabolic process",0.25245084413962,"6/44"
"GO:0050801","C1","ion homeostasis",0.257669842326441,"1/44"
"GO:0006520","C1","cellular amino acid metabolic process",0.263223641889792,"3/44"
"GO:0006694","C1","steroid biosynthetic process",0.264573779535834,"1/44"
"GO:0015711","C1","organic anion transport",0.264573779535834,"1/44"
"GO:0042446","C1","hormone biosynthetic process",0.271414953679687,"1/44"
"GO:1901565","C1","organonitrogen compound catabolic process",0.278422272970414,"3/44"
"GO:1901575","C1","organic substance catabolic process",0.282868671698965,"5/44"
"GO:0016054","C1","organic acid catabolic process",0.284911237625049,"1/44"
"GO:0046395","C1","carboxylic acid catabolic process",0.284911237625049,"1/44"
"GO:0071229","C1","cellular response to acid chemical",0.291567447810049,"1/44"
"GO:0044248","C1","cellular catabolic process",0.304989720144462,"5/44"
"GO:0006364","C1","rRNA processing",0.317592026365837,"1/44"
"GO:0009064","C1","glutamine family amino acid metabolic process",0.323950762248917,"1/44"
"GO:0016072","C1","rRNA metabolic process",0.323950762248917,"1/44"
"GO:0033993","C1","response to lipid",0.330251581240878,"1/44"
"GO:0070887","C1","cellular response to chemical stimulus",0.345795217273224,"2/44"
"GO:0006820","C1","anion transport",0.348811668141619,"1/44"
"GO:0032787","C1","monocarboxylic acid metabolic process",0.349188872558837,"2/44"
"GO:1901617","C1","organic hydroxy compound biosynthetic process",0.360904804588337,"1/44"
"GO:0042445","C1","hormone metabolic process",0.366868789444777,"1/44"
"GO:0006355","C1","regulation of transcription, DNA-templated",0.369026468484644,"5/44"
"GO:1903506","C1","regulation of nucleic acid-templated transcription",0.369026468484644,"5/44"
"GO:2001141","C1","regulation of RNA biosynthetic process",0.369026468484644,"5/44"
"GO:0006325","C1","chromatin organization",0.372778372233159,"1/44"
"GO:0044282","C1","small molecule catabolic process",0.372778372233159,"1/44"
"GO:0051252","C1","regulation of RNA metabolic process",0.382340237405945,"5/44"
"GO:0034637","C1","cellular carbohydrate biosynthetic process",0.384436266608123,"1/44"
"GO:0009057","C1","macromolecule catabolic process",0.393744902261304,"3/44"
"GO:0007275","C1","multicellular organism development",0.399357160352514,"2/44"
"GO:1901701","C1","cellular response to oxygen-containing compound",0.401527076442569,"1/44"
"GO:0019318","C1","hexose metabolic process",0.407120281335629,"1/44"
"GO:0019219","C1","regulation of nucleobase-containing compound metabolic process",0.408979068341841,"5/44"
"GO:0051726","C1","regulation of cell cycle",0.412662390454225,"1/44"
"GO:0010556","C1","regulation of macromolecule biosynthetic process",0.418479008027406,"5/44"
"GO:2000112","C1","regulation of cellular macromolecule biosynthetic process",0.418479008027406,"5/44"
"GO:0009889","C1","regulation of biosynthetic process",0.427963363937193,"5/44"
"GO:0031326","C1","regulation of cellular biosynthetic process",0.427963363937193,"5/44"
"GO:0009100","C1","glycoprotein metabolic process",0.428986683511861,"1/44"
"GO:0010817","C1","regulation of hormone levels",0.428986683511861,"1/44"
"GO:0005996","C1","monosaccharide metabolic process",0.434328930147089,"1/44"
"GO:0009719","C1","response to endogenous stimulus",0.4382624436469,"2/44"
"GO:0009725","C1","response to hormone",0.4382624436469,"2/44"
"GO:0019752","C1","carboxylic acid metabolic process",0.458024337168886,"4/44"
"GO:0043436","C1","oxoacid metabolic process",0.468517522578169,"4/44"
"GO:0022402","C1","cell cycle process",0.470380892643821,"1/44"
"GO:0048856","C1","anatomical structure development",0.475841865285363,"2/44"
"GO:0010033","C1","response to organic substance",0.4789083821099,"2/44"
"GO:0006082","C1","organic acid metabolic process",0.478946965945253,"4/44"
"GO:0006631","C1","fatty acid metabolic process",0.485135145146974,"1/44"
"GO:0034220","C1","ion transmembrane transport",0.485135145146974,"1/44"
"GO:0048523","C1","negative regulation of cellular process",0.489963374817378,"1/44"
