"","TF","Description","pvalue","ratio"
"GO:0006730","Solyc02g082110.4","one-carbon metabolic process",2.175966165875e-06,"4/32"
"GO:0006732","Solyc02g082110.4","coenzyme metabolic process",0.000519100906669359,"5/32"
"GO:0006694","Solyc02g082110.4","steroid biosynthetic process",0.0013109727983749,"3/32"
"GO:0016129","Solyc02g082110.4","phytosteroid biosynthetic process",0.00190303804065158,"2/32"
"GO:0005975","Solyc02g082110.4","carbohydrate metabolic process",0.00214643398134274,"9/32"
"GO:0016128","Solyc02g082110.4","phytosteroid metabolic process",0.00276779587667307,"2/32"
"GO:0046653","Solyc02g082110.4","tetrahydrofolate metabolic process",0.00276779587667307,"2/32"
"GO:0008202","Solyc02g082110.4","steroid metabolic process",0.00343773021659887,"3/32"
"GO:1901617","Solyc02g082110.4","organic hydroxy compound biosynthetic process",0.00388144656452115,"3/32"
"GO:0016126","Solyc02g082110.4","sterol biosynthetic process",0.00434827855548794,"2/32"
"GO:0006760","Solyc02g082110.4","folic acid-containing compound metabolic process",0.00494868722294928,"2/32"
"GO:0042558","Solyc02g082110.4","pteridine-containing compound metabolic process",0.00558507572025485,"2/32"
"GO:0009066","Solyc02g082110.4","aspartate family amino acid metabolic process",0.00625696439764083,"2/32"
"GO:1901605","Solyc02g082110.4","alpha-amino acid metabolic process",0.00753248712493221,"4/32"
"GO:0000096","Solyc02g082110.4","sulfur amino acid metabolic process",0.0101324338696539,"2/32"
"GO:0019359","Solyc02g082110.4","nicotinamide nucleotide biosynthetic process",0.0110074989969077,"2/32"
"GO:0019363","Solyc02g082110.4","pyridine nucleotide biosynthetic process",0.0110074989969077,"2/32"
"GO:0009108","Solyc02g082110.4","coenzyme biosynthetic process",0.0111164607579378,"3/32"
"GO:1901615","Solyc02g082110.4","organic hydroxy compound metabolic process",0.0138935422374104,"3/32"
"GO:0044264","Solyc02g082110.4","cellular polysaccharide metabolic process",0.0143914935877636,"3/32"
"GO:0051186","Solyc02g082110.4","cofactor metabolic process",0.014847262967983,"5/32"
"GO:0072525","Solyc02g082110.4","pyridine-containing compound biosynthetic process",0.0158579790126202,"2/32"
"GO:0016125","Solyc02g082110.4","sterol metabolic process",0.0169200502922386,"2/32"
"GO:0010410","Solyc02g082110.4","hemicellulose metabolic process",0.0191327499861584,"2/32"
"GO:0010383","Solyc02g082110.4","cell wall polysaccharide metabolic process",0.0202825420627896,"2/32"
"GO:0042446","Solyc02g082110.4","hormone biosynthetic process",0.0214607446994538,"2/32"
"GO:0006790","Solyc02g082110.4","sulfur compound metabolic process",0.0217935711648428,"3/32"
"GO:0033692","Solyc02g082110.4","cellular polysaccharide biosynthetic process",0.0226669496274564,"2/32"
"GO:0006575","Solyc02g082110.4","cellular modified amino acid metabolic process",0.0239007524809914,"2/32"
"GO:0019362","Solyc02g082110.4","pyridine nucleotide metabolic process",0.0251617527657383,"2/32"
"GO:0046496","Solyc02g082110.4","nicotinamide nucleotide metabolic process",0.0251617527657383,"2/32"
"GO:0051188","Solyc02g082110.4","cofactor biosynthetic process",0.0272147274390395,"3/32"
"GO:0042546","Solyc02g082110.4","cell wall biogenesis",0.029103990683185,"2/32"
"GO:0044272","Solyc02g082110.4","sulfur compound biosynthetic process",0.0304698520928097,"2/32"
"GO:0072524","Solyc02g082110.4","pyridine-containing compound metabolic process",0.031860965450986,"2/32"
"GO:0044283","Solyc02g082110.4","small molecule biosynthetic process",0.0331772640095693,"5/32"
"GO:0006733","Solyc02g082110.4","oxidoreduction coenzyme metabolic process",0.034717440021755,"2/32"
"GO:0044036","Solyc02g082110.4","cell wall macromolecule metabolic process",0.034717440021755,"2/32"
"GO:0019752","Solyc02g082110.4","carboxylic acid metabolic process",0.0355706233819312,"6/32"
"GO:0044262","Solyc02g082110.4","cellular carbohydrate metabolic process",0.0357479222780349,"3/32"
"GO:0043436","Solyc02g082110.4","oxoacid metabolic process",0.0376283123092123,"6/32"
"GO:0006520","Solyc02g082110.4","cellular amino acid metabolic process",0.0387089819787392,"4/32"
"GO:0006082","Solyc02g082110.4","organic acid metabolic process",0.0397628351483683,"6/32"
"GO:0000271","Solyc02g082110.4","polysaccharide biosynthetic process",0.0422745260682997,"2/32"
"GO:0042445","Solyc02g082110.4","hormone metabolic process",0.0422745260682997,"2/32"
"GO:0016053","Solyc02g082110.4","organic acid biosynthetic process",0.0432505017402116,"4/32"
"GO:0046394","Solyc02g082110.4","carboxylic acid biosynthetic process",0.0432505017402116,"4/32"
"GO:0008610","Solyc02g082110.4","lipid biosynthetic process",0.0452868126635312,"4/32"
"GO:0034637","Solyc02g082110.4","cellular carbohydrate biosynthetic process",0.0470796029016865,"2/32"
"GO:0010817","Solyc02g082110.4","regulation of hormone levels",0.0608055405550614,"2/32"
"GO:0009648","Solyc02g082110.4","photoperiodism",0.0652491363799992,"1/32"
"GO:0042136","Solyc02g082110.4","neurotransmitter biosynthetic process",0.0652491363799992,"1/32"
"GO:0048573","Solyc02g082110.4","photoperiodism, flowering",0.0652491363799992,"1/32"
"GO:0055088","Solyc02g082110.4","lipid homeostasis",0.0652491363799992,"1/32"
"GO:0046700","Solyc02g082110.4","heterocycle catabolic process",0.066269678637446,"2/32"
"GO:0090407","Solyc02g082110.4","organophosphate biosynthetic process",0.0663215432119633,"3/32"
"GO:0002831","Solyc02g082110.4","regulation of response to biotic stimulus",0.0777946701680832,"1/32"
"GO:0006662","Solyc02g082110.4","glycerol ether metabolic process",0.0777946701680832,"1/32"
"GO:0018904","Solyc02g082110.4","ether metabolic process",0.0777946701680832,"1/32"
"GO:0032101","Solyc02g082110.4","regulation of response to external stimulus",0.0777946701680832,"1/32"
"GO:0005976","Solyc02g082110.4","polysaccharide metabolic process",0.079351807981675,"3/32"
"GO:0065008","Solyc02g082110.4","regulation of biological quality",0.0813115252442313,"4/32"
"GO:0006073","Solyc02g082110.4","cellular glucan metabolic process",0.0835878393161522,"2/32"
"GO:0044042","Solyc02g082110.4","glucan metabolic process",0.0835878393161522,"2/32"
"GO:0006544","Solyc02g082110.4","glycine metabolic process",0.0840061141913672,"1/32"
"GO:0007623","Solyc02g082110.4","circadian rhythm",0.0840061141913672,"1/32"
"GO:0009225","Solyc02g082110.4","nucleotide-sugar metabolic process",0.0840061141913672,"1/32"
"GO:0009867","Solyc02g082110.4","jasmonic acid mediated signaling pathway",0.0840061141913672,"1/32"
"GO:0009991","Solyc02g082110.4","response to extracellular stimulus",0.0840061141913672,"1/32"
"GO:0010228","Solyc02g082110.4","vegetative to reproductive phase transition of meristem",0.0840061141913672,"1/32"
"GO:0043900","Solyc02g082110.4","regulation of multi-organism process",0.0840061141913672,"1/32"
"GO:0048511","Solyc02g082110.4","rhythmic process",0.0840061141913672,"1/32"
"GO:0071395","Solyc02g082110.4","cellular response to jasmonic acid stimulus",0.0840061141913672,"1/32"
"GO:1901607","Solyc02g082110.4","alpha-amino acid biosynthetic process",0.0876098709764749,"2/32"
"GO:0006629","Solyc02g082110.4","lipid metabolic process",0.0886890867585543,"5/32"
"GO:1901698","Solyc02g082110.4","response to nitrogen compound",0.0901770203694465,"1/32"
"GO:0016051","Solyc02g082110.4","carbohydrate biosynthetic process",0.0916901415409266,"2/32"
"GO:1901361","Solyc02g082110.4","organic cyclic compound catabolic process",0.0916901415409266,"2/32"
"GO:0055086","Solyc02g082110.4","nucleobase-containing small molecule metabolic process",0.0921085568738411,"3/32"
"GO:1901137","Solyc02g082110.4","carbohydrate derivative biosynthetic process",0.0934298781765434,"3/32"
"GO:0009067","Solyc02g082110.4","aspartate family amino acid biosynthetic process",0.0963076447847294,"1/32"
"GO:0009753","Solyc02g082110.4","response to jasmonic acid",0.0963076447847294,"1/32"
"GO:0048584","Solyc02g082110.4","positive regulation of response to stimulus",0.0963076447847294,"1/32"
"GO:0000097","Solyc02g082110.4","sulfur amino acid biosynthetic process",0.102398241955515,"1/32"
"GO:0006970","Solyc02g082110.4","response to osmotic stress",0.102398241955515,"1/32"
"GO:0009651","Solyc02g082110.4","response to salt stress",0.102398241955515,"1/32"
"GO:0001505","Solyc02g082110.4","regulation of neurotransmitter levels",0.108449064845218,"1/32"
"GO:0042133","Solyc02g082110.4","neurotransmitter metabolic process",0.108449064845218,"1/32"
"GO:0046677","Solyc02g082110.4","response to antibiotic",0.108449064845218,"1/32"
"GO:0000302","Solyc02g082110.4","response to reactive oxygen species",0.114460364871546,"1/32"
"GO:0006096","Solyc02g082110.4","glycolytic process",0.114460364871546,"1/32"
"GO:0006165","Solyc02g082110.4","nucleoside diphosphate phosphorylation",0.114460364871546,"1/32"
"GO:0006757","Solyc02g082110.4","ATP generation from ADP",0.114460364871546,"1/32"
"GO:0009132","Solyc02g082110.4","nucleoside diphosphate metabolic process",0.114460364871546,"1/32"
"GO:0009135","Solyc02g082110.4","purine nucleoside diphosphate metabolic process",0.114460364871546,"1/32"
"GO:0009179","Solyc02g082110.4","purine ribonucleoside diphosphate metabolic process",0.114460364871546,"1/32"
"GO:0009185","Solyc02g082110.4","ribonucleoside diphosphate metabolic process",0.114460364871546,"1/32"
"GO:0030244","Solyc02g082110.4","cellulose biosynthetic process",0.114460364871546,"1/32"
