"","TF","Description","pvalue","ratio"
"GO:0016129","Solyc02g082110.4","phytosteroid biosynthetic process",0.000596313416933099,"2/18"
"GO:0016128","Solyc02g082110.4","phytosteroid metabolic process",0.000870682613881905,"2/18"
"GO:0046653","Solyc02g082110.4","tetrahydrofolate metabolic process",0.000870682613881905,"2/18"
"GO:0006730","Solyc02g082110.4","one-carbon metabolic process",0.00137590028832021,"2/18"
"GO:0006760","Solyc02g082110.4","folic acid-containing compound metabolic process",0.00156894022362197,"2/18"
"GO:0042558","Solyc02g082110.4","pteridine-containing compound metabolic process",0.00177415546050986,"2/18"
"GO:0009066","Solyc02g082110.4","aspartate family amino acid metabolic process",0.00199146157616192,"2/18"
"GO:0000096","Solyc02g082110.4","sulfur amino acid metabolic process",0.00325642872803526,"2/18"
"GO:0006732","Solyc02g082110.4","coenzyme metabolic process",0.00615860920480847,"3/18"
"GO:0006694","Solyc02g082110.4","steroid biosynthetic process",0.00664577391107485,"2/18"
"GO:0033692","Solyc02g082110.4","cellular polysaccharide biosynthetic process",0.00745569712479425,"2/18"
"GO:0006575","Solyc02g082110.4","cellular modified amino acid metabolic process",0.0078766556661405,"2/18"
"GO:1901605","Solyc02g082110.4","alpha-amino acid metabolic process",0.00921811764341667,"3/18"
"GO:0008202","Solyc02g082110.4","steroid metabolic process",0.0126546175443582,"2/18"
"GO:1901617","Solyc02g082110.4","organic hydroxy compound biosynthetic process",0.0137303252667437,"2/18"
"GO:0000271","Solyc02g082110.4","polysaccharide biosynthetic process",0.0142827150813767,"2/18"
"GO:0034637","Solyc02g082110.4","cellular carbohydrate biosynthetic process",0.0159971622791532,"2/18"
"GO:0005975","Solyc02g082110.4","carbohydrate metabolic process",0.0223616368829075,"5/18"
"GO:1901607","Solyc02g082110.4","alpha-amino acid biosynthetic process",0.0310288149415738,"2/18"
"GO:0016051","Solyc02g082110.4","carbohydrate biosynthetic process",0.0325953889203525,"2/18"
"GO:1901615","Solyc02g082110.4","organic hydroxy compound metabolic process",0.0325953889203525,"2/18"
"GO:0044264","Solyc02g082110.4","cellular polysaccharide metabolic process",0.0333903669192076,"2/18"
"GO:0006520","Solyc02g082110.4","cellular amino acid metabolic process",0.0341168303403895,"3/18"
"GO:0042136","Solyc02g082110.4","neurotransmitter biosynthetic process",0.0371896135766063,"1/18"
"GO:0055088","Solyc02g082110.4","lipid homeostasis",0.0371896135766063,"1/18"
"GO:0008610","Solyc02g082110.4","lipid biosynthetic process",0.0388022267702469,"3/18"
"GO:0006629","Solyc02g082110.4","lipid metabolic process",0.0417160768109237,"4/18"
"GO:0006790","Solyc02g082110.4","sulfur compound metabolic process",0.0444042619424597,"2/18"
"GO:0006662","Solyc02g082110.4","glycerol ether metabolic process",0.0444690528270943,"1/18"
