ID,symbol,ID,group
Solyc08g079080.5,SlINV2,Solyc08g079080.5,metabolism
Solyc09g098590.4,SlSUSY2,Solyc09g098590.4,metabolism
Solyc02g081300.3,SlSUSY3,Solyc02g081300.3,metabolism
Solyc03g098290.4,SlSUSY4,Solyc03g098290.4,metabolism
Solyc07g042520.4,SlSUSY5,Solyc07g042520.4,metabolism
Solyc12g009300.3,SlSUSY6,Solyc12g009300.3,metabolism
Solyc12g040700.1,SlSUSY8,Solyc12g040700.1,metabolism
Solyc03g121070.3,SlHXK1,Solyc03g121070.3,metabolism
Solyc11g065220.2,SlHXK2,Solyc11g065220.2,metabolism
Solyc12g008510.2,SlHXK3,Solyc12g008510.2,metabolism
Solyc04g081400.3,SlHXK4,Solyc04g081400.3,metabolism
Solyc08g042000.3,SlSPS1,Solyc08g042000.3,metabolism
Solyc09g092130.3,SlSPS3,Solyc09g092130.3,metabolism
Solyc04g076960.4,SlSUT4,Solyc04g076960.4,transport
Solyc06g072620.4,SlSWEET1,Solyc06g072620.4,transport
Solyc06g072630.4,SlSWEET2,Solyc06g072630.4,transport
Solyc02g071520.3,SlSWEET3,Solyc02g071520.3,transport
Solyc03g005880.3,SlSWEET4,Solyc03g005880.3,transport
Solyc03g097600.3,SlSWEET5,Solyc03g097600.3,transport
Solyc03g097610.3,SlSWEET6,Solyc03g097610.3,transport
Solyc04g064630.3,SlSWEET7,Solyc04g064630.3,transport
Solyc06g060590.3,SlSWEET10,Solyc06g060590.3,transport
Solyc01g099880.4,SlSWEET17,Solyc01g099880.4,transport
Solyc03g007360.3,SlSWEET19,Solyc03g007360.3,transport
Solyc03g097590.4,SlSWEET21,Solyc03g097590.4,transport
Solyc04g064610.3,SlSWEET24,Solyc04g064610.3,transport
Solyc04g064620.4,SlSWEET25,Solyc04g064620.4,transport
Solyc03g115700.3,SlSnRK1.2,Solyc03g115700.3,signaling
Solyc02g090390.4,SlSnRK2.2,Solyc02g090390.4,signaling
Solyc11g010130.3,SlSnRK2.7a,Solyc11g010130.3,signaling
Solyc04g012160.4,SlSnRK2.7b,Solyc04g012160.4,signaling
Solyc08g077780.3,SlSnRK2.8a,Solyc08g077780.3,signaling
Solyc05g056550.3,SlSnRK2.9,Solyc05g056550.3,signaling
