,Solyc08g042000.3,Solyc09g092130.3,Solyc06g072620.4,Solyc06g072630.4,Solyc03g005880.3,Solyc03g097600.3,Solyc06g060590.3,Solyc03g007360.3,Solyc03g097590.4
Solyc08g006110.4,0.5099703605200974,0.03604891172168967,-0.6518912419796844,-0.6050508803542913,-0.488552957090338,-0.5539864318512114,-0.03240743557964945,0.2726802334033897,-0.3870874383232339
Solyc03g083400.3,0.3917637892752717,0.16665777418248462,-0.6518771909940522,-0.586850795378417,-0.39735732057937484,-0.525723801906475,-0.18242173703146977,0.07592750112833588,-0.4093605498928169
Solyc05g056530.4,0.6045322047730295,0.15643144624895974,-0.7138875689689977,-0.6568189757649598,-0.5545565653529037,-0.6050735645808026,-0.07114769692317428,0.12347830534744993,-0.3648716110183653
Solyc04g080740.1,0.49895808504122213,0.2050330513379354,-0.6601261562667597,-0.6399611469322893,-0.44393259275096164,-0.5729613484053433,-0.17100857487547266,0.22010556688292754,-0.4138664163851364
Solyc04g078770.4,0.656021024653293,0.13148262365050295,-0.5987096690132026,-0.5840800134307746,-0.5409334779174316,-0.5742570912772346,-0.02417828031835428,0.029162032714027772,-0.3676197224036251
Solyc04g040220.3,0.4594022964691935,-0.11750834947746298,-0.5335265933417188,-0.5520194628855352,-0.3906607099679077,-0.5046366651240365,0.010454510841039127,0.40135445002235826,-0.3272020848133593
Solyc02g024070.3,0.6906209329045402,0.30149504010231515,-0.6484511638100476,-0.621935811878655,-0.6103215459570046,-0.5526355238694418,-0.08210991352914318,0.029919808338198742,-0.34283163341645034
Solyc07g062260.3,0.6744536278801823,0.352424242342492,-0.6687097715468446,-0.6475888573932751,-0.5367045092250482,-0.5500741621839048,-0.3938288883386724,-0.10902622612414438,-0.455460032748415
Solyc08g066500.4,0.7579472092058541,0.35718299801350734,-0.6974045133378028,-0.66440759813463,-0.5981899969334273,-0.6310695814961327,-0.3104994197619297,-0.252040555036044,-0.5205872509853123
Solyc01g090560.4,0.3802276255198075,-0.1021001776518337,-0.5158841380866804,-0.5450158931695339,-0.4213838053343393,-0.4799167224335853,0.05437826098124434,0.533730576675503,-0.15642403872756216
Solyc08g067150.4,0.7901525532046023,0.22237677675442596,-0.7418936004938111,-0.714444277159283,-0.5547637374830738,-0.7059411577924697,-0.40744543682799017,-0.1460945131400931,-0.591414209240853
Solyc06g083170.3,0.2821307254270283,-0.12742250069515307,-0.36830745585984154,-0.3371320193761448,-0.36841979287673876,-0.3218898759192495,0.14662510081721777,0.4090486522488354,-0.00905103146349144
Solyc06g007530.2,0.7063185504622266,0.29221097410091634,-0.7004668424579622,-0.6578027504307961,-0.5132403931098936,-0.6176818469696522,-0.16390010187242168,-0.06569158518435314,-0.45562330260192213
Solyc05g056120.3,0.41026618869817794,-0.1750927572670249,-0.3909064114193603,-0.3951816013058438,-0.35113974077368126,-0.4148331170439648,0.19929931900007086,0.3760556464870179,0.008111334365676098
Solyc06g053710.3,0.3036685230333964,0.08892419761019191,-0.38352651193016163,-0.35670230904856726,-0.32000726874941526,-0.3305866911846699,-0.2694372977447251,-0.09955192727196492,-0.2168882636771541
Solyc03g123500.4,0.5267219446523502,0.015158891841926092,-0.5034107936138345,-0.495133868404539,-0.4397824920592793,-0.5104681542165047,-0.21550268161239686,-0.03687742650886587,-0.2695410420370834
Solyc11g010710.2,0.38760709987888675,0.21300787022636403,-0.4299648867140306,-0.38872922283836764,-0.3439682761272617,-0.3325268274292341,-0.22265951591246558,-0.18991721918422722,-0.26425780650288205
Solyc02g090220.3,0.6153592966597157,0.40636146635438325,-0.651319508341499,-0.6095993752966569,-0.501629425561826,-0.5603048958749209,-0.43157655964321,-0.29930888594964,-0.5717875993682229
