"","gene","cluster"
"1","novel.1295",1
"2","novel.1358",1
"3","novel.1445",1
"4","novel.6315",1
"5","novel.6318",1
"6","novel.829",1
"7","novel.834",1
"8","novel.856",1
"9","Solyc01g005290.4",1
"10","Solyc01g005320.2",1
"11","Solyc01g005985.1",1
"12","Solyc01g006055.1",1
"13","Solyc01g007130.3",1
"14","Solyc01g009690.3",1
"15","Solyc01g010310.4",1
"16","Solyc01g057320.3",1
"17","Solyc01g058270.3",1
"18","Solyc01g065500.3",1
"19","Solyc01g066610.4",1
"20","Solyc01g066820.4",1
"21","Solyc01g068075.1",1
"22","Solyc01g079150.4",1
"23","Solyc01g079810.4",1
"24","Solyc01g079850.3",1
"25","Solyc01g080770.3",1
"26","Solyc01g088160.4",1
"27","Solyc01g090440.2",1
"28","Solyc01g090810.4",1
"29","Solyc01g091090.4",1
"30","Solyc01g091180.4",1
"31","Solyc01g091200.4",1
"32","Solyc01g091230.3",1
"33","Solyc01g091320.3",1
"34","Solyc01g094050.1",1
"35","Solyc01g094700.4",1
"36","Solyc01g094830.4",1
"37","Solyc01g094890.4",1
"38","Solyc01g095360.2",1
"39","Solyc01g096360.3",1
"40","Solyc01g096670.4",1
"41","Solyc01g097240.3",1
"42","Solyc01g097350.4",1
"43","Solyc01g097650.3",1
"44","Solyc01g098240.3",1
"45","Solyc01g100490.4",1
"46","Solyc01g100760.2",1
"47","Solyc01g100930.3",1
"48","Solyc01g103140.3",1
"49","Solyc01g103360.4",1
"50","Solyc01g104570.4",1
"51","Solyc01g105380.1",1
"52","Solyc01g105383.1",1
"53","Solyc01g106750.2",1
"54","Solyc01g107260.4",1
"55","Solyc01g107800.4",1
"56","Solyc01g107910.4",1
"57","Solyc01g107990.3",1
"58","Solyc01g108330.2",1
"59","Solyc01g108630.3",1
"60","Solyc01g109140.3",1
"61","Solyc01g111310.3",1
"62","Solyc01g111330.4",1
"63","Solyc01g111340.4",1
"64","Solyc01g111350.3",1
"65","Solyc01g111700.2",1
"66","Solyc01g112080.3",1
"67","Solyc01g112140.4",1
"68","Solyc02g023950.3",1
"69","Solyc02g024070.3",1
"70","Solyc02g032840.1",1
"71","Solyc02g061850.4",1
"72","Solyc02g062990.1",1
"73","Solyc02g063170.3",1
"74","Solyc02g063180.4",1
"75","Solyc02g063330.3",1
"76","Solyc02g063430.4",1
"77","Solyc02g064945.1",1
"78","Solyc02g065170.3",1
"79","Solyc02g065350.3",1
"80","Solyc02g065530.4",1
"81","Solyc02g065800.3",1
"82","Solyc02g067010.3",1
"83","Solyc02g067830.3",1
"84","Solyc02g068280.4",1
"85","Solyc02g069110.4",1
"86","Solyc02g069440.3",1
"87","Solyc02g069510.1",1
"88","Solyc02g069670.4",1
"89","Solyc02g070000.4",1
"90","Solyc02g070660.3",1
"91","Solyc02g071080.3",1
"92","Solyc02g071120.3",1
"93","Solyc02g071530.2",1
"94","Solyc02g071610.3",1
"95","Solyc02g071700.3",1
"96","Solyc02g072240.3",1
"97","Solyc02g072310.3",1
"98","Solyc02g072490.3",1
"99","Solyc02g076680.3",1
"100","Solyc02g076730.3",1
"101","Solyc02g076740.3",1
"102","Solyc02g076750.3",1
"103","Solyc02g077030.3",1
"104","Solyc02g077160.3",1
"105","Solyc02g077260.3",1
"106","Solyc02g077400.4",1
"107","Solyc02g079010.4",1
"108","Solyc02g080900.3",1
"109","Solyc02g081040.4",1
"110","Solyc02g081070.4",1
"111","Solyc02g081450.2",1
"112","Solyc02g082050.3",1
"113","Solyc02g082960.3",1
"114","Solyc02g083480.3",1
"115","Solyc02g083740.2",1
"116","Solyc02g084640.4",1
"117","Solyc02g084720.3",1
"118","Solyc02g085340.1",1
"119","Solyc02g085390.4",1
"120","Solyc02g085870.3",1
"121","Solyc02g086260.1",1
"122","Solyc02g086430.4",1
"123","Solyc02g086840.3",1
"124","Solyc02g087520.3",1
"125","Solyc02g088230.3",1
"126","Solyc02g089690.3",1
