"","gene","cluster"
"1","novel.1038",1
"2","novel.104",1
"3","novel.1496",1
"4","novel.1760",1
"5","novel.1889",1
"6","novel.1892",1
"7","novel.1907",1
"8","novel.2093",1
"9","novel.2194",1
"10","novel.3584",1
"11","novel.3595",1
"12","novel.4141",1
"13","novel.4295",1
"14","novel.4575",1
"15","novel.4626",1
"16","novel.5113",1
"17","novel.5160",1
"18","novel.5456",1
"19","novel.6168",1
"20","novel.6321",1
"21","novel.6656",1
"22","novel.6861",1
"23","novel.763",1
"24","novel.774",1
"25","novel.997",1
"26","Solyc01g005760.3",1
"27","Solyc01g009170.4",1
"28","Solyc01g009860.3",1
"29","Solyc01g014560.4",1
"30","Solyc01g028860.3",1
"31","Solyc01g057300.2",1
"32","Solyc01g057440.3",1
"33","Solyc01g059950.1",1
"34","Solyc01g065680.2",1
"35","Solyc01g066260.2",1
"36","Solyc01g067650.2",1
"37","Solyc01g068290.4",1
"38","Solyc01g079530.4",1
"39","Solyc01g079600.4",1
"40","Solyc01g080470.3",1
"41","Solyc01g086960.3",1
"42","Solyc01g087470.3",1
"43","Solyc01g087970.3",1
"44","Solyc01g088720.3",1
"45","Solyc01g090710.3",1
"46","Solyc01g091160.4",1
"47","Solyc01g091730.3",1
"48","Solyc01g094330.3",1
"49","Solyc01g096120.3",1
"50","Solyc01g099080.4",1
"51","Solyc01g103470.2",1
"52","Solyc01g103590.4",1
"53","Solyc01g104900.3",1
"54","Solyc01g106080.4",1
"55","Solyc01g106090.3",1
"56","Solyc01g106690.3",1
"57","Solyc01g106910.4",1
"58","Solyc01g107190.3",1
"59","Solyc01g108030.4",1
"60","Solyc01g108100.3",1
"61","Solyc01g108620.3",1
"62","Solyc01g109160.4",1
"63","Solyc01g109420.3",1
"64","Solyc01g111640.3",1
"65","Solyc02g005320.2",1
"66","Solyc02g021160.2",1
"67","Solyc02g030080.4",1
"68","Solyc02g061770.4",1
"69","Solyc02g062430.3",1
"70","Solyc02g062800.2",1
"71","Solyc02g064690.3",1
"72","Solyc02g064700.3",1
"73","Solyc02g065180.3",1
"74","Solyc02g067710.3",1
"75","Solyc02g068170.1",1
"76","Solyc02g068590.3",1
"77","Solyc02g068660.3",1
