Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	RefSeq DNA ID
Solyc12g009745.1	Solyc12g009745.1.1		
Solyc10g008210.3	Solyc10g008210.3.1	101260876	XM_010328778.2
Solyc10g008210.3	Solyc10g008210.3.1	101260876	XM_010328778.3
Solyc10g008210.3	Solyc10g008210.3.1	101260876	XM_010328777.3
Solyc06g072480.1	Solyc06g072480.1.1	100191115	NM_001247449.2
Solyc09g057715.1	Solyc09g057715.1.1		
Solyc05g015710.3	Solyc05g015710.3.1	101249549	XM_004239184.3
Solyc12g097070.2	Solyc12g097070.2.1		
Solyc12g019340.1	Solyc12g019340.1.1		
Solyc05g006260.1	Solyc05g006260.1.1		
Solyc01g067380.3	Solyc01g067380.3.1		
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244504.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244513.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244506.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244503.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244502.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244510.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244509.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244505.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244512.1
Solyc12g042120.2	Solyc12g042120.2.1		XR_003244508.1
Solyc07g006800.1	Solyc07g006800.1.1	101254400	XM_004242966.3
Solyc09g009280.1	Solyc09g009280.1.1	101262554	XM_004246847.2
Solyc06g005070.2	Solyc06g005070.2.1		XM_004240292.4
Solyc11g066760.2	Solyc11g066760.2.1		
Solyc06g071540.3	Solyc06g071540.3.1	101260442	XM_004241471.3
Solyc06g071540.3	Solyc06g071540.3.1	101260442	XM_004241471.4
Solyc09g065150.1	Solyc09g065150.1.1		
Solyc10g081230.2	Solyc10g081230.2.1		
Solyc01g106390.3	Solyc01g106390.3.1	101252440	XM_004230603.2
Solyc09g007080.3	Solyc09g007080.3.1	101264664	XM_004246671.3
Solyc09g007080.3	Solyc09g007080.3.1	101264664	XM_004246671.4
Solyc09g007080.3	Solyc09g007080.3.1	101264664	XM_004246672.4
Solyc11g066500.2	Solyc11g066500.2.1	101264699	XM_010315012.2
Solyc11g066500.2	Solyc11g066500.2.1	101264699	XM_004250941.3
Solyc11g066500.2	Solyc11g066500.2.1	101264699	XM_004250941.4
Solyc11g066500.2	Solyc11g066500.2.1	101264699	XM_010315012.3
Solyc01g102637.1	Solyc01g102637.1.1		
Solyc03g060510.3	Solyc03g060510.3.1	101260406	XM_004234750.3
Solyc03g060510.3	Solyc03g060510.3.1	101260406	XM_010319589.3
Solyc03g060510.3	Solyc03g060510.3.1	101260406	XM_004234750.4
Solyc11g066460.1	Solyc11g066460.1.1		
Solyc06g082800.3	Solyc06g082800.3.1	101262530	XM_004242407.3
Solyc01g105290.3	Solyc01g105290.3.1		XM_004230550.4
Solyc08g062965.1	Solyc08g062965.1.1		
Solyc03g058900.2	Solyc03g058900.2.1		
Solyc11g011542.1	Solyc11g011542.1.1		XM_010314407.3
Solyc11g011542.1	Solyc11g011542.1.1		XM_010314408.3
Solyc11g011542.1	Solyc11g011542.1.1		XM_019211114.2
Solyc11g011542.1	Solyc11g011542.1.1		XM_004250492.4
Solyc03g007860.1	Solyc03g007860.1.1	101259028	XM_004234237.3
Solyc03g007860.1	Solyc03g007860.1.1	101259028	XM_004234237.4
Solyc06g048620.3	Solyc06g048620.3.1	101247434	XM_004241036.2
Solyc06g048620.3	Solyc06g048620.3.1	101247434	XM_004241036.3
Solyc03g006490.3	Solyc03g006490.3.1	544312	NM_001247110.3
Solyc03g006490.3	Solyc03g006490.3.1	544312	XM_026029794.1
Solyc11g017373.1	Solyc11g017373.1.1		
Solyc09g060100.3	Solyc09g060100.3.1	101255624	XM_004247036.3
Solyc09g060100.3	Solyc09g060100.3.1	101255624	XM_004247035.4
Solyc09g060100.3	Solyc09g060100.3.1	101255624	XM_026032818.1
Solyc09g060100.3	Solyc09g060100.3.1	101255624	XR_743238.3
Solyc09g060100.3	Solyc09g060100.3.1	101255624	XM_004247036.4
Solyc03g006950.2	Solyc03g006950.2.1		XM_026030364.1
Solyc03g114300.3	Solyc03g114300.3.1		XM_019213054.2
Solyc03g114300.3	Solyc03g114300.3.1		XR_002027402.2
Solyc03g114300.3	Solyc03g114300.3.1		XM_019213055.2
Solyc03g114300.3	Solyc03g114300.3.1		XR_002027403.2
Solyc02g011755.1	Solyc02g011755.1.1		
Solyc11g010105.1	Solyc11g010105.1.1		
Solyc09g092080.3	Solyc09g092080.3.1	101267649	XM_004246345.3
Solyc09g092080.3	Solyc09g092080.3.1	101267649	XM_004247818.3
Solyc09g092080.3	Solyc09g092080.3.1	101267649	XM_004247818.4
Solyc09g092080.3	Solyc09g092080.3.1	101244799	XM_004246345.3
Solyc09g092080.3	Solyc09g092080.3.1	101244799	XM_004247818.3
Solyc09g092080.3	Solyc09g092080.3.1	101244799	XM_004247818.4
Solyc05g055160.3	Solyc05g055160.3.1	101248484	XM_004239689.2
Solyc06g053780.3	Solyc06g053780.3.1		XM_004240975.4
Solyc07g055920.3	Solyc07g055920.3.1	543841	NM_001313930.1
Solyc02g062040.3	Solyc02g062040.3.1	101253750	XM_004233515.3
Solyc05g046390.3	Solyc05g046390.3.1		
Solyc09g042300.2	Solyc09g042300.2.1		
Solyc03g044600.2	Solyc03g044600.2.1		XR_740372.2
Solyc11g067270.1	Solyc11g067270.1.1	101268255	XM_004251330.3
Solyc11g067270.1	Solyc11g067270.1.1	101268255	XM_004251330.4
Solyc09g083370.3	Solyc09g083370.3.1	101244902	XM_010328418.2
Solyc09g018235.1	Solyc09g018235.1.1		
Solyc03g115845.1	Solyc03g115845.1.1		
Solyc07g065280.3	Solyc07g065280.3.1	101260659	XM_004244028.3
Solyc10g018885.1	Solyc10g018885.1.1		
Solyc10g051050.2	Solyc10g051050.2.1		XM_010329273.3
Solyc03g007680.3	Solyc03g007680.3.1		XM_004234152.4
Solyc03g007680.3	Solyc03g007680.3.1		XM_010319193.3
Solyc03g115800.1	Solyc03g115800.1.1	101260810	XM_004236428.3
Solyc03g115800.1	Solyc03g115800.1.1	101260810	XM_004236428.4
Solyc05g005910.3	Solyc05g005910.3.1		
Solyc07g032300.1	Solyc07g032300.1.1		
Solyc01g091860.3	Solyc01g091860.3.1	101265479	XM_004229810.3
Solyc12g098660.2	Solyc12g098660.2.1		XM_004252926.4
Solyc12g098660.2	Solyc12g098660.2.1		XM_010316440.3
Solyc12g098660.2	Solyc12g098660.2.1		XM_004252927.4
Solyc04g057890.3	Solyc04g057890.3.1	101248870	NM_001323061.1
Solyc06g008960.3	Solyc06g008960.3.1	101268578	XM_004240593.3
Solyc06g008960.3	Solyc06g008960.3.1	101268578	XM_004240593.4
Solyc06g008960.3	Solyc06g008960.3.1	101268578	XM_026031410.1
Solyc06g008960.3	Solyc06g008960.3.1	101268578	XM_010323541.3
Solyc02g030520.1	Solyc02g030520.1.1		
Solyc10g044967.1	Solyc10g044967.1.1		
Solyc07g026705.1	Solyc07g026705.1.1		XM_010325160.3
Solyc07g026705.1	Solyc07g026705.1.1		XM_019214640.2
Solyc07g039384.1	Solyc07g039384.1.1		
Solyc08g005440.3	Solyc08g005440.3.1		XM_004244372.4
Solyc01g005610.3	Solyc01g005610.3.1		XM_010319720.3
Solyc04g050345.1	Solyc04g050345.1.1		
Solyc10g086290.2	Solyc10g086290.2.1		XM_004249622.3
Solyc12g035860.1	Solyc12g035860.1.1		
Solyc05g016473.1	Solyc05g016473.1.1		
Solyc02g088954.1	Solyc02g088954.1.1		XR_002026975.2
Solyc02g088954.1	Solyc02g088954.1.1		XR_002026976.2
Solyc02g088954.1	Solyc02g088954.1.1		XR_002026974.2
Solyc02g088954.1	Solyc02g088954.1.1		XR_002026972.2
Solyc02g088954.1	Solyc02g088954.1.1		XR_002026977.2
